,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552551591745321,-0.37611263224405816,-0.7697118485784978,0.22346368715083798,0.181132,0.22068933333333335,0.012791109401834084,0.03337013477932167,0.022219297188568885,0.0181058,0.0491999,0.0213734,0.134558,0.221811,0.146196,0.23761,0.335851,0.335311,0.334413,0.333156,0.331542,0.329574,0.327252,0.324581,0.321561,0.318198,0.314493,0.310452,0.280273,0.396154,0.395517,0.394457,0.392975,0.391072,0.38875,0.386012,0.38286,0.379299,0.375331,0.370961,0.366194,0.318954,0.450828,0.450104,0.448898,0.447211,0.445045,0.442402,0.439286,0.4357,0.431647,0.427131,0.422159,0.416734,-0.992465,-0.99867,0.991825,-0.593024,-0.532508,0.638291,0.4395354762922751
1,0.0,0.0,0.0,0.005,0.04,0.435,0.47,0.045,0.005,0.0,0.075,0.605,0.245,0.06,0.01,0.0,0.005,0.0,0.0,0.0,0.165,0.635,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.8537833946568549,-0.02585608282163861,-0.11146829179062087,0.25334525139664804,0.246154,0.344144,0.07773504585209302,0.08867671211449725,0.10152946301943809,0.112232,0.146826,0.104832,0.33501,0.383179,0.323778,0.394906,0.558182,0.557285,0.555792,0.553703,0.551021,0.54775,0.543892,0.539451,0.534433,0.528842,0.522685,0.515969,0.35902,0.507459,0.506643,0.505286,0.503387,0.500949,0.497975,0.494467,0.49043,0.485868,0.480785,0.475188,0.469082,0.305671,0.432053,0.431359,0.430203,0.428586,0.426511,0.423978,0.420992,0.417555,0.413671,0.409343,0.404578,0.399379,-0.135889,-0.627397,0.0668603,0.0930059,-0.158363,-0.0342163,0.45496633541928494
2,0.0,0.0,0.015,0.985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25711843999696893,-0.7377525395719586,-0.07134650376917077,0.25937765363128495,0.1763635,0.31111133333333335,0.010653533230334657,0.0059494903412497715,0.013878810912023433,0.0161053,0.00963022,0.0138777,0.126907,0.0981337,0.117804,0.190128,0.268737,0.268306,0.267587,0.266581,0.26529,0.263715,0.261857,0.259719,0.257303,0.254612,0.251648,0.248414,0.333509,0.4714,0.470643,0.469381,0.467618,0.465353,0.46259,0.459332,0.455581,0.451343,0.446622,0.441422,0.43575,0.0519231,0.073391,0.0732731,0.0730767,0.0728021,0.0724495,0.0720194,0.0715121,0.0709282,0.0702684,0.0695334,0.0687238,0.0678407,-0.996303,-0.977573,0.963952,0.733562,-0.712988,-0.682966,0.4163015171734708
3,0.0,0.175,0.275,0.245,0.205,0.08,0.015,0.005,0.0,0.0,0.985,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.315,0.515,0.105,0.01,0.0,0.0,0.0,0.0,0.0,0.2746145879817124,-0.7539004909029049,0.03801008963213278,0.3080608938547486,0.322414,0.31869933333333333,0.1697886758923421,0.25110860554237596,0.12755814276842076,0.217114,0.375596,0.13152,0.465954,0.612859,0.362657,0.393605,0.556343,0.55545,0.553961,0.551879,0.549207,0.545946,0.5421,0.537674,0.532673,0.527101,0.520964,0.51427,0.484582,0.684936,0.683836,0.682003,0.67944,0.67615,0.672135,0.667401,0.661952,0.655794,0.648934,0.641379,0.633137,0.353346,0.499439,0.498637,0.497301,0.495432,0.493033,0.490105,0.486653,0.48268,0.47819,0.473188,0.467679,0.461669,-0.789329,0.18682,-0.276721,-0.461954,0.0531451,-0.198782,0.4499177279970978
4,0.21,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2047941802995731,0.12842295416619412,0.843617441199973,0.25139664804469275,0.298387,0.20967733333333333,0.004473267865076155,0.010655647957454573,0.003306560005932463,0.00564264,0.0133662,0.00340987,0.0751175,0.115612,0.0583941,0.146213,0.206666,0.206334,0.205781,0.205007,0.204015,0.202803,0.201375,0.199731,0.197873,0.195803,0.193523,0.191036,0.098797,0.139645,0.139421,0.139047,0.138525,0.137854,0.137035,0.13607,0.134959,0.133704,0.132305,0.130765,0.129084,0.327431,0.46281,0.462066,0.460828,0.459096,0.456873,0.45416,0.450961,0.447279,0.443118,0.438483,0.433378,0.427809,-0.992906,-0.999418,0.992812,-0.121949,0.163955,-0.214195,0.39876181715317277
5,0.0,0.0,0.005,0.15,0.215,0.375,0.095,0.04,0.075,0.045,0.485,0.475,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.315,0.405,0.145,0.03,0.005,0.0,0.0,0.0,0.0,0.7362308346454042,-0.23490919106329894,0.05711184280199097,0.28374022346368716,0.21413049999999997,0.25866666666666666,0.19507396675308833,0.11488177481164785,0.17056015424402815,0.27633,0.161375,0.163102,0.525671,0.401715,0.40386,0.462948,0.654356,0.653305,0.651554,0.649106,0.645962,0.642127,0.637604,0.632398,0.626515,0.619961,0.612744,0.60487,0.396359,0.560236,0.559336,0.557837,0.555741,0.553049,0.549765,0.545893,0.541436,0.5364,0.530788,0.524609,0.517868,0.378831,0.535461,0.5346,0.533168,0.531164,0.528592,0.525453,0.521752,0.517492,0.512678,0.507316,0.501409,0.494966,-0.84582,0.381819,-0.400056,-0.508763,0.390778,-0.341138,0.41646303806105833
6,0.13,0.855,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.975,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15891436317557614,-0.7310087001603941,-0.08215136373701488,0.4245810055865922,0.29090900000000003,0.4266666666666667,0.02946177666085365,0.014436898772126488,0.031004347382764343,0.0447863,0.022304,0.0323661,0.211628,0.149345,0.179906,0.187991,0.265716,0.26529,0.264579,0.263584,0.262308,0.26075,0.258914,0.2568,0.254411,0.25175,0.248819,0.245621,0.336648,0.475838,0.475073,0.4738,0.472019,0.469733,0.466944,0.463655,0.45987,0.455592,0.450826,0.445578,0.439852,0.148324,0.209649,0.209312,0.208751,0.207967,0.20696,0.205731,0.204282,0.202614,0.200729,0.198629,0.196317,0.193794,0.943965,0.779978,0.887913,-0.314806,-0.368761,0.437864,0.40127791525767764
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.38026252641682595,0.24523678369489496,0.8020872445099115,0.45421396648044693,0.4136365,0.38383866666666666,0.004957138405023506,0.003953948225970437,0.003907518469424644,0.00676242,0.00656583,0.00433021,0.082234,0.0810298,0.0658043,0.232165,0.328155,0.327627,0.326749,0.325521,0.323945,0.322022,0.319753,0.317143,0.314193,0.310906,0.307286,0.303338,0.174561,0.246734,0.246338,0.245677,0.244754,0.243569,0.242123,0.240417,0.238454,0.236236,0.233765,0.231043,0.228075,0.319831,0.452067,0.451341,0.450131,0.448439,0.446268,0.443618,0.440493,0.436897,0.432833,0.428305,0.423319,0.417879,-0.999522,-0.999736,0.999447,-0.333228,0.0849477,-0.247739,0.429681838401375
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.031761654977308894,0.3126646468901382,0.8032897207058891,0.23996927374301677,0.254054,0.22807000000000002,0.0030737943518708848,0.0036218488490315183,0.0029420750641910996,0.00426946,0.00536726,0.00305771,0.0653411,0.0732616,0.0552966,-0.076656,-0.10835,-0.108176,-0.107886,-0.10748,-0.10696,-0.106325,-0.105576,-0.104714,-0.10374,-0.102655,-0.10146,-0.100156,0.210512,0.29755,0.297072,0.296276,0.295162,0.293733,0.291989,0.289932,0.287565,0.28489,0.28191,0.278628,0.275048,0.32023,0.452631,0.451904,0.450693,0.448999,0.446824,0.444172,0.441043,0.437442,0.433373,0.428839,0.423847,0.4184,-0.988174,-0.987134,0.999732,-0.300353,0.346469,-0.599495,0.39738802586061694
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6809596780304625,-0.4443133029826807,0.09396085453792757,0.19054245810055867,0.1736365,0.25866666666666666,0.01401827452904629,0.01353143981855627,0.02265208887570564,0.0216851,0.0208549,0.0261798,0.147258,0.144412,0.161802,0.308852,0.436548,0.435847,0.434679,0.433045,0.430948,0.42839,0.425372,0.421899,0.417974,0.413602,0.408787,0.403534,0.27352,0.386608,0.385987,0.384953,0.383506,0.381649,0.379383,0.376711,0.373635,0.370159,0.366287,0.362023,0.357371,0.10622,0.150138,0.149897,0.149495,0.148933,0.148212,0.147332,0.146294,0.1451,0.14375,0.142246,0.14059,0.138784,0.99599,-0.922899,-0.949071,-0.909575,0.849118,-0.810528,0.4248137543241387
